full_date,weekday,mood,activities,note
2020-10-05,Montag,Gut,Variable03 | Variable07 | Variable14 | Variable15 | Variable17 | Arbeit | Mensa | Schlecht | Einkaufen,""
2020-10-06,Dienstag,Super,Variable03 | Variable04 | Variable07 | Variable11 | Mäßig | Einkaufen,""
2020-10-07,Mittwoch,Super,Variable03 | Variable04 | Variable07 | Variable13 | Mäßig | Arbeit,""
2020-10-08,Donnerstag,Ok,Variable07 | Variable14 | Arbeit | Schlecht,""
2020-10-09,Freitag,Schlecht,Gut | Variable07 | Variable10 | Variable13 | Wäsche | Einkaufen | Schlafqualitaet,""
2020-10-10,Samstag,Ok,Variable03 | Gut | Variable07 | Variable11 | Schlafqualitaet,""
2020-10-11,Sonntag,Gut,Gut | Rasiert | Restaurant | Schlafqualitaet,""
2020-10-12,Montag,Super,Gut | Variable13 | Variable18 | Schlafqualitaet,""
2020-10-13,Dienstag,Ok,Variable03 | Variable07 | Variable13 | Variable14 | Variable18 | Schlecht,""
2020-10-14,Mittwoch,Ok,Familie | Gut | Variable07 | Variable13 | Einkaufen | Schlafqualitaet,""
2020-10-15,Donnerstag,Super,Variable03 | Variable04 | Gut | Variable07 | Variable13 | Variable14 | Einkaufen | Rasiert | Schlafqualitaet,""
2020-10-16,Freitag,Schlecht,Familie | Variable03 | Variable04 | Variable07 | Variable13 | Variable14 | Mäßig | Einkaufen,""
2020-10-17,Samstag,Ok,Variable15 | Mäßig,""
2020-10-18,Sonntag,Gut,Familie | Variable03 | Variable08 | Variable13 | Wäsche | Schlecht,""
2020-10-19,Montag,Ok,Familie | Variable07 | Variable13 | Variable14 | Variable15 | Mäßig,""
2020-10-20,Dienstag,Super,Variable02 | Variable03 | Variable04 | Gut | Variable06 | Variable08 | Variable10 | Variable13 | Variable15 | Variable18 | Friseur | Einkaufen | Schlafqualitaet,""
2020-10-21,Mittwoch,Super,Variable03 | Variable06 | Variable08 | Variable10 | Variable13 | Variable15 | Variable18 | Variable19 | Mäßig,""
2020-10-22,Donnerstag,Super,Variable02 | Variable03 | Variable04 | Variable07 | Variable10 | Variable14 | Variable15 | Variable18 | Variable19 | Mensa | Schlecht | Klausur,""
2020-10-23,Freitag,Super,Variable03 | Variable04 | Variable06 | Variable08 | Wäsche | Schlecht | Einkaufen | Rasiert,""
2020-10-24,Samstag,Ok,Variable04 | Variable07 | Variable14 | Variable15 | Mäßig,""
2020-10-25,Sonntag,Lausig,Familie | Variable03 | Variable04 | Gut | Variable06 | Variable07 | Schlafqualitaet,""
2020-10-26,Montag,Ok,Variable03 | Variable04 | Gut | Variable07 | Variable10 | Variable13 | Variable14 | Arbeit | Wäsche | Einkaufen | Schlafqualitaet,""
2020-10-27,Dienstag,Super,Variable07 | Variable11 | Variable13 | Variable14 | Mäßig | Arbeit,""
2020-10-28,Mittwoch,Lausig,Familie | Variable03 | Variable04 | Variable07 | Variable08 | Variable17 | Variable18 | Variable19 | Mäßig,""
2020-10-29,Donnerstag,Lausig,Variable03 | Variable07 | Variable14 | Schlecht,""
2020-10-30,Freitag,Lausig,Familie | Variable04 | Variable07 | Variable14 | Schlecht | Einkaufen | Rasiert,""
2020-10-31,Samstag,Lausig,Variable06 | Variable08 | Variable10 | Mäßig | Wäsche,""
2020-11-01,Sonntag,Ok,Gut | Variable07 | Variable09 | Variable13 | Variable15 | Schlafqualitaet,""
2020-11-02,Montag,Gut,Gut | Variable07 | Variable13 | Variable14 | Variable15 | Arbeit | Schlafqualitaet,""
2020-11-03,Dienstag,Ok,Variable04 | Gut | Variable07 | Variable09 | Variable11 | Variable13 | Variable14 | Variable15 | Schlafqualitaet,""
2020-11-04,Mittwoch,Schlecht,Familie | Variable06 | Variable08 | Variable09 | Variable13 | Variable15 | Variable17 | Mäßig | Arbeit,""
2020-11-05,Donnerstag,Ok,Familie | Variable04 | Variable07 | Variable13 | Variable14 | Variable15 | Variable17 | Variable18 | Mäßig | Arbeit,""
2020-11-06,Freitag,Super,Variable06 | Variable08 | Variable13 | Variable18 | Variable19 | Mäßig | Arbeit | Einkaufen | Rasiert,""
2020-11-07,Samstag,Super,Familie | Variable04 | Variable07 | Variable11 | Variable13 | Variable14 | Variable15 | Variable17 | Variable18 | Mäßig,""
2020-11-08,Sonntag,Gut,Variable07 | Variable10 | Variable13 | Mäßig | Wäsche,""
2020-11-09,Montag,Schlecht,Variable06 | Variable07 | Arbeit | Schlecht,""
2020-11-10,Dienstag,Schlecht,Variable04 | Gut | Variable11 | Variable13 | Variable15 | Variable17 | Einkaufen | Schlafqualitaet,""
2020-11-11,Mittwoch,Ok,Variable07 | Variable13 | Variable15 | Variable17 | Mäßig | Rasiert,""
2020-11-12,Donnerstag,Schlecht,Gut | Variable07 | Variable13 | Variable14 | Variable15 | Variable18 | Arbeit | Schlafqualitaet,""
2020-11-13,Freitag,Lausig,Variable03 | Variable04 | Variable13 | Variable18 | Variable19 | Mäßig | Einkaufen,""
2020-11-14,Samstag,Lausig,Variable03 | Variable07 | Variable10 | Variable11 | Variable13 | Variable14 | Mäßig | Einkaufen,""
2020-11-15,Sonntag,Lausig,Variable03 | Variable04 | Variable07 | Variable13 | Variable18 | Mäßig,""
2020-11-16,Montag,Lausig,Variable03 | Gut | Variable07 | Variable09 | Variable13 | Variable14 | Variable16 | Arbeit | Schlafqualitaet,""
2020-11-17,Dienstag,Ok,Variable03 | Variable04 | Gut | Variable07 | Variable10 | Variable13 | Variable14 | Variable15 | Variable16 | Variable17 | Wäsche | Schlafqualitaet,""
2020-11-18,Mittwoch,Super,Variable03 | Variable07 | Variable13 | Variable14 | Variable15 | Mäßig | Arbeit | Einkaufen | Rasiert,""
2020-11-19,Donnerstag,Super,Variable03 | Variable04 | Gut | Variable07 | Variable13 | Arbeit | Einkaufen | Schlafqualitaet,""
2020-11-20,Freitag,Super,Variable03 | Variable04 | Gut | Variable06 | Variable08 | Wäsche | Rasiert | Schlafqualitaet,""
2020-11-21,Samstag,Gut,Variable03 | Variable04 | Variable07 | Variable13 | Variable14 | Variable18 | Mäßig | Einkaufen,""
2020-11-22,Sonntag,Super,Variable03 | Variable04 | Variable06 | Variable07 | Variable10 | Variable13 | Variable14 | Mäßig | Rasiert,""
2020-11-23,Montag,Super,Variable04 | Variable06 | Variable08 | Variable13 | Variable15 | Variable18 | Mäßig | Arbeit | Wäsche,""
2020-11-24,Dienstag,Super,Variable04 | Variable06 | Variable07 | Variable09 | Variable10 | Variable11 | Variable13 | Variable14 | Variable15 | Mäßig | Einkaufen,""
2020-11-25,Mittwoch,Schlecht,Variable03 | Variable04 | Variable06 | Variable07 | Variable10 | Variable13 | Variable14 | Variable17 | Mäßig | Arbeit | Einkaufen,""
2020-11-26,Donnerstag,Schlecht,Variable04 | Variable07 | Variable09 | Variable11 | Variable13 | Variable14 | Mäßig | Arbeit | Rasiert,""
2020-11-27,Freitag,Gut,Variable06 | Variable07 | Variable10 | Variable13 | Variable14 | Mäßig | Friseur | Arbeit | Einkaufen,""
2020-11-28,Samstag,Lausig,Variable06 | Variable07 | Variable11 | Variable13 | Variable14 | Mäßig,""
2020-11-29,Sonntag,Lausig,Variable04 | Gut | Variable07 | Variable13 | Variable14 | Variable15 | Wäsche | Schlafqualitaet,""
2020-11-30,Montag,Ok,Gut | Variable07 | Variable10 | Variable13 | Variable15 | Arbeit | Einkaufen | Schlafqualitaet,""
2020-12-01,Dienstag,Ok,Variable04 | Gut | Variable07 | Variable11 | Variable13 | Variable14 | Variable15 | Variable18 | Rasiert | Schlafqualitaet,""
2020-12-02,Mittwoch,Schlecht,Variable03 | Variable04 | Variable06 | Variable07 | Variable13 | Mäßig | Wäsche,""
2020-12-03,Donnerstag,Lausig,Variable03 | Variable07 | Variable13 | Variable14 | Mäßig | Arbeit,""
2020-12-04,Freitag,Lausig,Variable03 | Variable06 | Mäßig | Einkaufen,""
2020-12-05,Samstag,Lausig,Variable06 | Variable08 | Variable09 | Variable11 | Variable13 | Mäßig,""
2020-12-06,Sonntag,Lausig,Variable07 | Variable10 | Variable13 | Variable14 | Mäßig | Wäsche | Rasiert,""
2020-12-07,Montag,Schlecht,Variable04 | Variable07 | Variable13 | Variable15 | Variable16 | Variable19 | Mäßig | Arbeit,""
2020-12-08,Dienstag,Lausig,Variable07 | Variable13 | Variable14 | Schlecht,""
2020-12-09,Mittwoch,Schlecht,Variable03 | Variable04 | Variable06 | Variable07 | Variable13 | Variable15 | Variable18 | Mäßig | Arbeit | Einkaufen,""
2020-12-10,Donnerstag,Ok,Variable03 | Variable04 | Variable07 | Variable13 | Variable14 | Variable17 | Variable18 | Arbeit | Schlecht,""
2020-12-11,Freitag,Super,Variable04 | Gut | Variable06 | Variable07 | Variable19 | Rasiert | Schlafqualitaet,""
2020-12-12,Samstag,Super,Variable04 | Gut | Variable06 | Variable08 | Variable11 | Schlafqualitaet,""
2020-12-13,Sonntag,Super,Variable06 | Variable08 | Variable13 | Mäßig | Arbeit,""
2020-12-14,Montag,Super,Variable07 | Variable13 | Variable14 | Variable18 | Mäßig | Arbeit | Einkaufen,""
2020-12-15,Dienstag,Super,Variable04 | Variable07 | Variable11 | Variable13 | Schlecht,""
2020-12-16,Mittwoch,Lausig,Variable04 | Variable07 | Variable13 | Variable14 | Mäßig | Arbeit | Wäsche | Einkaufen,""
2020-12-17,Donnerstag,Lausig,Variable04 | Variable07 | Variable13 | Variable15 | Variable19 | Mäßig | Arbeit,""
2020-12-18,Freitag,Schlecht,Variable04 | Gut | Variable07 | Variable14 | Variable19 | Arbeit | Einkaufen | Rasiert | Schlafqualitaet,""
2020-12-19,Samstag,Super,Variable04 | Variable07 | Variable10 | Variable11 | Variable13 | Variable17 | Variable18 | Mäßig | Einkaufen,""
2020-12-20,Sonntag,Schlecht,Variable04 | Variable06 | Variable08 | Variable13 | Mäßig | Arbeit,""
2020-12-21,Montag,Schlecht,Variable03 | Variable04 | Variable07 | Variable13 | Mäßig | Arbeit,""
2020-12-22,Dienstag,Gut,Familie | Variable04 | Variable07 | Variable14 | Mäßig | Rasiert,""
2020-12-23,Mittwoch,Ok,Variable03 | Variable04 | Variable07 | Mäßig | Arbeit,""
2020-12-24,Donnerstag,Gut,Familie | Variable03 | Variable04 | Gut | Variable10 | Wäsche | Schlafqualitaet,""
2020-12-25,Freitag,Super,Variable04 | Gut | Variable07 | Variable11 | Variable13 | Variable14 | Schlafqualitaet,""
2020-12-26,Samstag,Gut,Variable04 | Variable07 | Variable10 | Variable13 | Mäßig,""
2020-12-27,Sonntag,Ok,Variable04 | Variable06 | Variable07 | Variable11 | Variable13 | Mäßig,""
2020-12-28,Montag,Schlecht,Variable03 | Variable08 | Variable16 | Mäßig | Arbeit | Einkaufen,""
2020-12-29,Dienstag,Super,Variable03 | Variable04 | Variable07 | Variable11 | Mäßig | Wäsche,""
2020-12-30,Mittwoch,Gut,Variable06 | Variable07 | Mäßig | Wäsche | Einkaufen,""
2020-12-31,Donnerstag,Schlecht,Variable04 | Variable07 | Variable14 | Mäßig,""
2021-01-01,Freitag,Ok,Variable03 | Variable04 | Variable06 | Variable07 | Variable11 | Variable13 | Variable14 | Variable17 | Mäßig,""
2021-01-02,Samstag,Schlecht,Variable03 | Variable04 | Variable08 | Variable17 | Variable19 | Mäßig | Rasiert,""
2021-01-03,Sonntag,Super,Variable04 | Variable13 | Variable17 | Schlecht,""
2021-01-04,Montag,Super,Variable04 | Gut | Variable06 | Variable07 | Variable13 | Variable14 | Variable15 | Arbeit | Einkaufen | Schlafqualitaet,""
2021-01-05,Dienstag,Gut,Variable04 | Variable07 | Variable13 | Variable14 | Mäßig,""
2021-01-06,Mittwoch,Ok,Variable04 | Variable07 | Variable13 | Mäßig | Arbeit | Einkaufen,""
2021-01-07,Donnerstag,Schlecht,Variable04 | Variable06 | Variable07 | Variable14 | Arbeit | Wäsche | Schlecht | Einkaufen | Rasiert,""
2021-01-08,Freitag,Super,Variable02 | Variable03 | Variable04 | Variable07 | Variable14 | Variable19 | Wäsche | Schlecht,""
2021-01-09,Samstag,Super,Variable04 | Variable07 | Variable17 | Mäßig | Einkaufen,""
2021-01-10,Sonntag,Ok,Variable04 | Variable07 | Variable13 | Variable14 | Variable16 | Mäßig,""
2021-01-11,Montag,Super,Variable02 | Variable03 | Variable04 | Gut | Variable07 | Variable13 | Arbeit | Schlafqualitaet,""
2021-01-12,Dienstag,Ok,Variable04 | Variable07 | Variable13 | Variable16 | Mäßig | Einkaufen,""
2021-01-13,Mittwoch,Lausig,Variable08 | Variable10 | Variable11 | Variable13 | Variable15 | Mäßig | Arbeit,""
2021-01-14,Donnerstag,Schlecht,Familie | Variable04 | Variable07 | Variable19 | Arbeit | Wäsche | Schlecht | Einkaufen,""
2021-01-15,Freitag,Schlecht,Variable02 | Variable03 | Variable04 | Variable07 | Variable14 | Variable19 | Mäßig | Wäsche | Rasiert,""
2021-01-16,Samstag,Schlecht,Variable04 | Variable07 | Variable13 | Variable16 | Mäßig | Einkaufen,""
2021-01-17,Sonntag,Lausig,Variable04 | Variable06 | Variable08 | Variable10 | Variable13 | Variable16 | Arbeit | Schlecht,""
2021-01-18,Montag,Gut,Variable02 | Variable04 | Variable07 | Variable13 | Mäßig | Arbeit,""
2021-01-19,Dienstag,Super,Variable07 | Variable13 | Variable14 | Variable16 | Variable18 | Schlecht,""
2021-01-20,Mittwoch,Super,Gut | Variable07 | Variable13 | Variable15 | Variable16 | Variable18 | Arbeit | Einkaufen | Schlafqualitaet,""
2021-01-21,Donnerstag,Gut,Variable04 | Variable07 | Variable13 | Variable16 | Mäßig | Arbeit | Wäsche,""
2021-01-22,Freitag,Ok,Variable02 | Variable03 | Variable04 | Variable07 | Variable13 | Variable14 | Schlecht | Rasiert,""
2021-01-23,Samstag,Gut,Variable03 | Variable04 | Variable07 | Variable13 | Variable14 | Mäßig,""
2021-01-24,Sonntag,Gut,Variable04 | Variable08 | Variable13 | Mäßig | Arbeit | Wäsche,""
2021-01-25,Montag,Ok,Familie | Variable03 | Variable04 | Variable07 | Variable13 | Variable14 | Mäßig | Arbeit | Einkaufen,""
2021-01-26,Dienstag,Super,Variable02 | Variable04 | Gut | Variable07 | Variable13 | Variable14 | Variable15 | Schlafqualitaet,""
2021-01-27,Mittwoch,Super,Variable07 | Variable13 | Mäßig | Arbeit,""
2021-01-28,Donnerstag,Super,Variable04 | Variable07 | Variable13 | Mäßig | Arbeit | Einkaufen,""
2021-01-29,Freitag,Super,Variable02 | Variable04 | Variable07 | Variable10 | Variable14 | Arbeit | Schlecht,""
2021-01-30,Samstag,Super,Variable05 | Variable07 | Variable08 | Variable10 | Variable17 | Mäßig,""
2021-01-31,Sonntag,Schlecht,Variable04 | Variable05 | Variable06 | Mäßig,""
2021-02-01,Montag,Schlecht,Variable04 | Variable06 | Variable07 | Variable11 | Arbeit | Schlecht | Einkaufen | Rasiert,""
2021-02-02,Dienstag,Gut,Variable02 | Variable07 | Variable11 | Variable14 | Variable15 | Mäßig | Arbeit,""
2021-02-03,Mittwoch,Gut,Variable04 | Variable07 | Variable11 | Variable14 | Mäßig | Wäsche | Rasiert,""
2021-02-04,Donnerstag,Super,Variable10 | Variable11 | Variable13 | Variable15 | Variable18 | Mäßig | Einkaufen,""
2021-02-05,Freitag,Super,Variable02 | Variable03 | Variable04 | Variable07 | Variable11 | Variable14 | Mäßig | Arbeit | Einkaufen,""
2021-02-06,Samstag,Schlecht,Variable04 | Gut | Variable07 | Variable11 | Schlafqualitaet,""
2021-02-07,Sonntag,Ok,Gut | Variable07 | Variable09 | Variable13 | Variable14 | Schlafqualitaet,""
2021-02-08,Montag,Super,Familie | Variable03 | Variable04 | Variable07 | Variable11 | Variable17 | Mäßig,""
2021-02-09,Dienstag,Gut,Variable02 | Variable03 | Variable04 | Variable07 | Variable11 | Variable14 | Mäßig | Einkaufen | Rasiert,""
2021-02-10,Mittwoch,Schlecht,Variable03 | Variable04 | Variable07 | Variable09 | Variable11 | Mäßig,""
2021-02-11,Donnerstag,Lausig,Variable04 | Variable07 | Variable11 | Variable13 | Variable19 | Mäßig | Arbeit | Wäsche | Einkaufen,""
2021-02-12,Freitag,Ok,Variable02 | Variable04 | Variable07 | Variable13 | Variable14 | Variable15 | Arbeit | Schlecht,""
2021-02-13,Samstag,Super,Variable03 | Variable04 | Variable05 | Gut | Variable07 | Variable13 | Variable14 | Variable18 | Schlafqualitaet,""
2021-02-14,Sonntag,Super,Familie | Variable03 | Variable04 | Variable05 | Gut | Variable07 | Variable11 | Variable13 | Schlafqualitaet,""
2021-02-15,Montag,Schlecht,Gut | Variable07 | Variable13 | Einkaufen | Rasiert | Schlafqualitaet,""
2021-02-16,Dienstag,Ok,Variable07 | Variable14 | Variable19 | Mäßig | Klausur,""
2021-02-17,Mittwoch,Schlecht,Variable03 | Gut | Variable06 | Variable07 | Variable17 | Schlafqualitaet,""
2021-02-18,Donnerstag,Lausig,Variable03 | Gut | Variable06 | Variable08 | Einkaufen | Schlafqualitaet,""
2021-02-19,Freitag,Gut,Variable02 | Variable04 | Gut | Variable07 | Variable14 | Arbeit | Rasiert | Schlafqualitaet,""
2021-02-20,Samstag,Super,Variable03 | Variable04 | Gut | Variable07 | Variable14 | Variable18 | Einkaufen | Schlafqualitaet,""
2021-02-21,Sonntag,Super,Variable04 | Variable06 | Variable07 | Mäßig,""
2021-02-22,Montag,Ok,Familie | Variable04 | Schach | Gut | Variable06 | Variable07 | Schlafqualitaet,""
2021-02-23,Dienstag,Schlecht,Familie | Variable04 | Schach | Variable06 | Variable08 | Variable13 | Wäsche | Schlecht | Longboard,""
2021-02-24,Mittwoch,Gut,Familie | Schach | Variable13 | Variable14 | Mäßig | Rasiert | Longboard,""
2021-02-25,Donnerstag,Gut,Familie | Schach | Variable06 | Variable08 | Variable15 | Mäßig | Arbeit | Einkaufen,""
2021-02-26,Freitag,Lausig,Variable04 | Schach | Variable06 | Variable07 | Variable11 | Variable16 | Mäßig | Longboard,""
2021-02-27,Samstag,Ok,Variable02 | Variable04 | Schach | Gut | Variable06 | Variable07 | Variable14 | Variable16 | Schlafqualitaet,""
2021-02-28,Sonntag,Gut,Variable04 | Schach | Gut | Variable06 | Variable07 | Variable13 | Variable14 | Variable19 | Schlafqualitaet,""
2021-03-01,Montag,Lausig,Familie | Variable04 | Schach | Variable07 | Variable13 | Variable14 | Variable15 | Variable19 | Mäßig | Arbeit,""
2021-03-02,Dienstag,Lausig,Variable03 | Variable04 | Variable05 | Schach | Gut | Variable07 | Variable13 | Variable17 | Variable19 | Einkaufen | Rasiert | Schlafqualitaet,""
2021-03-03,Mittwoch,Schlecht,Variable04 | Schach | Variable07 | Variable14 | Variable19 | Mäßig | Klausur,""
2021-03-04,Donnerstag,Ok,Familie | Variable04 | Schach | Variable07 | Mäßig | Arbeit | Wäsche,""
2021-03-05,Freitag,Super,Variable02 | Variable03 | Variable04 | Schach | Variable07 | Variable13 | Variable14 | Variable15 | Arbeit | Schlecht | Einkaufen | Longboard,""
2021-03-06,Samstag,Super,Familie | Variable03 | Variable04 | Schach | Gut | Variable07 | Variable14 | Einkaufen | Schlafqualitaet,""
2021-03-07,Sonntag,Super,Familie | Variable04 | Schach | Variable06 | Variable07 | Variable13 | Variable14 | Variable15 | Mäßig | Wäsche | Rasiert,""
2021-03-08,Montag,Gut,Familie | Variable03 | Variable04 | Schach | Variable07 | Variable11 | Variable15 | Mäßig | Arbeit | Einkaufen,""
2021-03-09,Dienstag,Gut,Familie | Schach | Variable07 | Variable13 | Variable14 | Mäßig | Friseur | Einkaufen,""
2021-03-10,Mittwoch,Gut,Familie | Variable03 | Variable04 | Variable06 | Variable08 | Mäßig | Arbeit,""
2021-03-11,Donnerstag,Lausig,Familie | Variable04 | Variable06 | Variable08 | Variable15 | Variable17 | Mäßig | Arbeit | Einkaufen,""
2021-03-12,Freitag,Schlecht,Variable03 | Variable04 | Schach | Variable07 | Variable13 | Variable14 | Mäßig | Arbeit | Rasiert,""
2021-03-13,Samstag,Super,Variable03 | Variable04 | Schach | Variable07 | Variable11 | Variable13 | Mäßig | Einkaufen,""
2021-03-14,Sonntag,Gut,Familie | Variable04 | Gut | Variable11 | Arbeit | Schlafqualitaet,""
2021-03-15,Montag,Ok,Variable04 | Schach | Gut | Variable07 | Variable08 | Variable11 | Arbeit | Schlafqualitaet,""
2021-03-16,Dienstag,Ok,Variable04 | Variable07 | Variable10 | Variable14 | Mäßig | Arbeit | Wäsche,""
2021-03-17,Mittwoch,Ok,Variable04 | Schach | Variable06 | Variable08 | Variable10 | Variable11 | Variable13 | Variable19 | Mäßig | Arbeit | Einkaufen | Longboard,""
2021-03-18,Donnerstag,Schlecht,Variable04 | Variable06 | Variable07 | Variable11 | Variable13 | Variable14 | Variable16 | Mäßig | Arbeit | Rasiert,""
2021-03-19,Freitag,Schlecht,Variable03 | Variable04 | Variable06 | Variable07 | Variable08 | Variable13 | Variable14 | Variable15 | Variable18 | Mäßig | Arbeit,""
2021-03-20,Samstag,Schlecht,Variable03 | Variable04 | Variable07 | Variable13 | Variable14 | Variable17 | Wäsche | Schlecht | Einkaufen,""
2021-03-21,Sonntag,Schlecht,Variable02 | Variable03 | Variable04 | Variable07 | Variable11 | Variable13 | Variable18 | Mäßig | Wäsche,""
2021-03-22,Montag,Gut,Familie | Variable03 | Variable04 | Schach | Variable06 | Variable08 | Variable13 | Variable18 | Mäßig | Arbeit | Longboard,""
2021-03-23,Dienstag,Super,Variable03 | Variable04 | Gut | Variable08 | Variable13 | Variable15 | Arbeit | Einkaufen | Longboard | Schlafqualitaet,""
2021-03-24,Mittwoch,Ok,Familie | Variable04 | Schach | Gut | Variable06 | Variable07 | Variable08 | Variable13 | Variable16 | Rasiert | Longboard | Schlafqualitaet,""
2021-03-25,Donnerstag,Gut,Schach | Variable07 | Variable08 | Variable11 | Variable13 | Variable15 | Mäßig | Arbeit,""
2021-03-26,Freitag,Super,Schach | Gut | Variable08 | Variable13 | Arbeit | Einkaufen | Longboard | Schlafqualitaet,""
2021-03-27,Samstag,Ok,Variable02 | Gut | Variable13 | Variable19 | Einkaufen | Schlafqualitaet,""
2021-03-28,Sonntag,Ok,Schach | Variable08 | Variable13 | Variable16 | Variable18 | Mäßig,""
2021-03-29,Montag,Lausig,Schach | Variable06 | Variable07 | Variable08 | Variable13 | Variable14 | Variable16 | Variable19 | Mäßig | Klausur,""
2021-03-30,Dienstag,Ok,Variable02 | Variable04 | Schach | Variable07 | Variable11 | Mäßig | Einkaufen | Rasiert | Longboard,""
2021-03-31,Mittwoch,Super,Variable02 | Variable04 | Schach | Variable08 | Variable10 | Schlecht | Ausflug,""
2021-04-01,Donnerstag,Super,Variable03 | Variable04 | Schach | Gut | Variable07 | Variable08 | Arbeit | Einkaufen | Schlafqualitaet,""
2021-04-02,Freitag,Gut,Variable02 | Variable03 | Variable04 | Schach | Gut | Variable07 | Variable11 | Variable14 | Longboard | Schlafqualitaet,""
2021-04-03,Samstag,Lausig,Familie | Variable03 | Schach | Gut | Variable07 | Variable13 | Variable14 | Wäsche | Schlafqualitaet,""
2021-04-04,Sonntag,Lausig,Familie | Variable03 | Schach | Variable07 | Variable11 | Variable13 | Chinesisch | Variable14 | Variable18 | Schlecht,""
2021-04-05,Montag,Gut,Variable02 | Variable04 | Schach | Variable07 | Variable08 | Variable13 | Chinesisch | Variable16 | Variable18 | Mäßig | Arbeit,""
2021-04-06,Dienstag,Super,Variable02 | Variable04 | Schach | Gut | Variable07 | Variable13 | Chinesisch | Variable14 | Arbeit | Einkaufen | Rasiert | Schlafqualitaet,""
